FY,COUNTY,CODISTSCH,DISTRICTLNAME,v,FREELUNCH,REDUCEDLUNCH,FREEREDUCEDLUNCH,PERCENT
2017-2018,ADAMS,010003000,KENESAW PUBLIC SCHOOLS,271,54,24,78,28.78
2017-2018,ADAMS,010018000,HASTINGS PUBLIC SCHOOLS,3740,1828,437,2265,60.56
2017-2018,ADAMS,010090000,ADAMS CENTRAL PUBLIC SCHOOLS,921,120,69,189,20.52
2017-2018,ADAMS,010123000,SILVER LAKE PUBLIC SCHOOLS,255,65,41,106,41.57
2017-2018,ADAMS,010701000,CHRIST LUTHERAN ELEMENTARY SCH,56,,,10,17.86
2017-2018,ADAMS,010702000,HASTINGS CATHOLIC SCHOOLS,474,40,26,66,13.92
2017-2018,ADAMS,010705000,ZION LUTHERAN ELEMENTARY SCH,70,,,22,31.43
2017-2018,ANTELOPE,020009000,NELIGH-OAKDALE SCHOOLS,383,112,43,155,40.47
2017-2018,ANTELOPE,020018000,ELGIN PUBLIC SCHOOLS,170,66,21,87,51.18
2017-2018,ANTELOPE,020701000,ST BONIFACE ELEMENTARY SCHOOL,69,,,16,23.19
2017-2018,ANTELOPE,020702000,POPE JOHN XXIII HIGH SCHOOL,62,,,20,32.26
2017-2018,ANTELOPE,022001000,NEBRASKA UNIFIED DISTRICT 1,448,141,69,210,46.88
2017-2018,ARTHUR,030500000,ARTHUR COUNTY SCHOOLS,111,,,,
2017-2018,BANNER,040001000,BANNER COUNTY PUBLIC SCHOOLS,150,73,18,91,60.67
2017-2018,BLAINE,050071000,SANDHILLS PUBLIC SCHOOLS,90,33,12,45,50
2017-2018,BOONE,060001000,BOONE CENTRAL SCHOOLS,599,145,48,193,32.22
2017-2018,BOONE,060017000,ST EDWARD PUBLIC SCHOOLS,173,75,11,86,49.71
2017-2018,BOONE,060075000,RIVERSIDE PUBLIC SCHOOLS,238,76,56,132,55.46
2017-2018,BOONE,060701000,ST MICHAEL'S ELEMENTARY SCHOOL,115,,,19,16.52
2017-2018,BOX BUTTE,070006000,ALLIANCE PUBLIC SCHOOLS,1390,549,171,720,51.8
2017-2018,BOX BUTTE,070010000,HEMINGFORD PUBLIC SCHOOLS,427,116,32,148,34.66
2017-2018,BOX BUTTE,070701000,ST AGNES ELEMENTARY SCHOOL,138,,,21,15.22
2017-2018,BOX BUTTE,070705000,IMMANUEL EVANGELICAL LUTHERAN SCHOOL,83,12,21,33,39.76
2017-2018,BOYD,080051000,BOYD COUNTY SCHOOLS,342,132,56,188,54.97
2017-2018,BROWN,090010000,AINSWORTH COMMUNITY SCHOOLS,443,144,59,203,45.82
2017-2018,BUFFALO,100002000,GIBBON PUBLIC SCHOOLS,600,247,40,287,47.83
2017-2018,BUFFALO,100007000,KEARNEY PUBLIC SCHOOLS,5815,1825,537,2362,40.62
2017-2018,BUFFALO,100009000,ELM CREEK PUBLIC SCHOOLS,373,97,27,124,33.24
2017-2018,BUFFALO,100019000,SHELTON PUBLIC SCHOOLS,292,85,33,118,40.41
2017-2018,BUFFALO,100069000,RAVENNA PUBLIC SCHOOLS,453,136,36,172,37.97
2017-2018,BUFFALO,100105000,PLEASANTON PUBLIC SCHOOLS,279,40,42,82,29.39
2017-2018,BUFFALO,100119000,AMHERST PUBLIC SCHOOLS,392,98,28,126,32.14
2017-2018,BUFFALO,100600000,KEARNEY WEST HIGH SCHOOL,90,,,,
2017-2018,BUFFALO,100701000,KEARNEY CATHOLIC SCHOOLS,344,,,18,5.23
2017-2018,BUFFALO,100702000,ZION LUTHERAN ELEMENTARY SCH,178,,,19,10.67
2017-2018,BUFFALO,100709000,FAITH CHRISTIAN SCH/KEARNEY,83,,,,
2017-2018,BURT,110001000,TEKAMAH-HERMAN COMMUNITY SCHS,541,142,34,176,32.53
2017-2018,BURT,110014000,OAKLAND CRAIG PUBLIC SCHOOLS,434,134,34,168,38.71
2017-2018,BURT,110020000,LYONS-DECATUR NORTHEAST SCHS,271,116,29,145,53.51
2017-2018,BUTLER,120056000,DAVID CITY PUBLIC SCHOOLS,649,233,87,320,49.31
2017-2018,BUTLER,120502000,EAST BUTLER PUBLIC SCHOOLS,306,55,11,66,21.57
2017-2018,BUTLER,120701000,AQUINAS ST MARYS CATHOLIC SCHS,515,52,45,97,18.83
2017-2018,CASS,130001000,PLATTSMOUTH COMMUNITY SCHOOLS,1695,501,158,659,38.88
2017-2018,CASS,130022000,WEEPING WATER PUBLIC SCHOOLS,315,82,35,117,37.14
2017-2018,CASS,130032000,LOUISVILLE PUBLIC SCHOOLS,664,80,40,120,18.07
2017-2018,CASS,130056000,CONESTOGA PUBLIC SCHOOLS,705,151,57,208,29.5
2017-2018,CASS,130097000,ELMWOOD-MURDOCK PUBLIC SCHOOLS,461,59,14,73,15.84
2017-2018,CASS,130701000,ST JOHN THE BAPTIST ELEMENTARY,178,18,20,38,21.35
2017-2018,CEDAR,140008000,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,353,85,50,135,38.24
2017-2018,CEDAR,140045000,RANDOLPH PUBLIC SCHOOLS,239,64,23,87,36.4
2017-2018,CEDAR,140054000,LAUREL-CONCORD-COLERIDGE SCHOOL,485,122,45,167,34.43
2017-2018,CEDAR,140101000,WYNOT PUBLIC SCHOOLS,186,57,28,85,45.7
2017-2018,CEDAR,140701000,HOLY TRINITY ELEMENTARY SCHOOL,184,12,14,26,14.13
2017-2018,CEDAR,140702000,CEDAR CATHOLIC HIGH SCHOOL,188,19,27,46,24.47
2017-2018,CEDAR,140703000,WEST CATHOLIC ELEMENTARY SCH,21,,,,
2017-2018,CEDAR,140704000,EAST CATHOLIC ELEMENTARY SCH,41,,,16,39.02
2017-2018,CHASE,150010000,CHASE COUNTY SCHOOLS,645,169,63,232,35.97
2017-2018,CHASE,150536000,WAUNETA-PALISADE PUBLIC SCHS,257,120,41,161,62.65
2017-2018,CHERRY,160006000,VALENTINE COMMUNITY SCHOOLS,572,170,59,229,40.03
2017-2018,CHERRY,160030000,CODY-KILGORE PUBLIC SCHS,178,69,35,104,58.43
2017-2018,CHERRY,160701000,ZION LUTHERAN ELEMENTARY SCH,54,,,,
2017-2018,CHEYENNE,170001000,SIDNEY PUBLIC SCHOOLS,1332,343,120,463,34.76
2017-2018,CHEYENNE,170003000,LEYTON PUBLIC SCHOOLS,186,48,29,77,41.4
2017-2018,CHEYENNE,170009000,POTTER-DIX PUBLIC SCHOOLS,181,46,30,76,41.99
2017-2018,CLAY,180002000,SUTTON PUBLIC SCHOOLS,410,87,31,118,28.78
2017-2018,CLAY,180011000,HARVARD PUBLIC SCHOOLS,276,155,29,184,66.67
2017-2018,CLAY,180701000,SUTTON CHRISTIAN SCHOOL,19,,,,
2017-2018,COLFAX,190039000,LEIGH COMMUNITY SCHOOLS,235,45,22,67,28.51
2017-2018,COLFAX,190058000,CLARKSON PUBLIC SCHOOLS,200,42,31,73,36.5
2017-2018,COLFAX,190070000,HOWELLS-DODGE CONSOLIDATED SCHOOLS,259,70,20,90,34.75
2017-2018,COLFAX,190123000,SCHUYLER COMMUNITY SCHOOLS,2071,1122,295,1417,68.42
2017-2018,COLFAX,190703000,ST JOHN NEUMANN ELEMENTARY SCH,21,,,,
2017-2018,COLFAX,190704000,HOWELLS COMMUNITY CATHOLIC SCHOOL,49,,,,
2017-2018,CUMING,200001000,WEST POINT PUBLIC SCHOOLS,751,319,101,420,55.93
2017-2018,CUMING,200020000,BANCROFT-ROSALIE COMM SCHOOLS,293,97,42,139,47.44
2017-2018,CUMING,200030000,WISNER-PILGER PUBLIC SCHOOLS,426,132,62,194,45.54
2017-2018,CUMING,200703000,ST PAUL LUTHERAN ELEM SCHOOL,133,,,22,16.54
2017-2018,CUMING,200710000,GUARDIAN ANGELS CENTRAL CATHOLIC SCHOOLS,373,53,20,73,19.57
2017-2018,CUSTER,210015000,ANSELMO-MERNA PUBLIC SCHOOLS,273,79,17,96,35.16
2017-2018,CUSTER,210025000,BROKEN BOW PUBLIC SCHOOLS,861,283,90,373,43.32
2017-2018,CUSTER,210044000,ANSLEY PUBLIC SCHOOLS,190,74,27,101,53.16
2017-2018,CUSTER,210084000,SARGENT PUBLIC SCHOOLS,193,82,20,102,52.85
2017-2018,CUSTER,210089000,ARNOLD PUBLIC SCHOOLS,169,29,13,42,24.85
2017-2018,CUSTER,210180000,CALLAWAY PUBLIC SCHOOLS,222,46,14,60,27.03
2017-2018,DAKOTA,220011000,SO SIOUX CITY COMMUNITY SCHS,3850,1645,799,2444,63.48
2017-2018,DAKOTA,220031000,HOMER COMMUNITY SCHOOLS,382,127,39,166,43.46
2017-2018,DAKOTA,220701000,ST MICHAEL ELEMENTARY SCHOOL,166,84,39,123,74.1
2017-2018,DAWES,230002000,CHADRON PUBLIC SCHOOLS,916,266,96,362,39.52
2017-2018,DAWES,230071000,CRAWFORD PUBLIC SCHOOLS,227,73,36,109,48.02
2017-2018,DAWES,230601000,PINE RIDGE JOB CORPS,100,,,,
2017-2018,DAWES,230701000,PRAIRIE VIEW S D A SCHOOL,2,,,,
2017-2018,DAWES,230704000,TRUNK BUTTE CHRISTIAN SCHOOL,10,,,,
2017-2018,DAWES,230705000,COLLEGE HEIGHTS ACADEMY,13,,,,
2017-2018,DAWSON,240001000,LEXINGTON PUBLIC SCHOOLS,3051,1896,414,2310,75.71
2017-2018,DAWSON,240004000,OVERTON PUBLIC SCHOOLS,322,105,61,166,51.55
2017-2018,DAWSON,240011000,COZAD COMMUNITY SCHOOLS,951,394,111,505,53.1
2017-2018,DAWSON,240020000,GOTHENBURG PUBLIC SCHOOLS,914,224,49,273,29.87
2017-2018,DAWSON,240101000,SUMNER-EDDYVILLE-MILLER SCHS,198,94,36,130,65.66
2017-2018,DEUEL,250025000,CREEK VALLEY SCHOOLS,207,64,24,88,42.51
2017-2018,DEUEL,250095000,SOUTH PLATTE PUBLIC SCHOOLS,179,95,19,114,63.69
2017-2018,DIXON,260001000,PONCA PUBLIC SCHOOLS,468,57,39,96,20.51
2017-2018,DIXON,260070000,ALLEN CONSOLIDATED SCHOOLS,179,49,23,72,40.22
2017-2018,DIXON,260561000,EMERSON-HUBBARD PUBLIC SCHOOLS,273,91,47,138,50.55
2017-2018,DODGE,270001000,FREMONT PUBLIC SCHOOLS,4736,2423,467,2890,61.02
2017-2018,DODGE,270062000,SCRIBNER-SNYDER COMMUNITY SCHS,205,100,24,124,60.49
2017-2018,DODGE,270594000,LOGAN VIEW PUBLIC SCHOOLS,557,167,43,210,37.7
2017-2018,DODGE,270595000,NORTH BEND CENTRAL PUBLIC SCHS,635,140,75,215,33.86
2017-2018,DODGE,270701000,ARCHBISHOP BERGAN SCHOOL,168,,,28,16.67
2017-2018,DODGE,270702000,TRINITY LUTHERAN ELEM SCHOOLS,132,,,20,15.15
2017-2018,DODGE,270704000,ST WENCESLAUS ELEM SCHOOL,44,,,,
2017-2018,DODGE,270706000,ARCHBISHOP BERGAN ELEMENTARY,302,34,15,49,16.23
2017-2018,DOUGLAS,280001000,OMAHA PUBLIC SCHOOLS,52836,35048,5457,40505,76.66
2017-2018,DOUGLAS,280010000,ELKHORN PUBLIC SCHOOLS,9347,573,176,749,8.01
2017-2018,DOUGLAS,280015000,DOUGLAS CO WEST COMMUNITY SCHS,958,243,94,337,35.18
2017-2018,DOUGLAS,280017000,MILLARD PUBLIC SCHOOLS,24018,3719,1266,4985,20.76
2017-2018,DOUGLAS,280054000,RALSTON PUBLIC SCHOOLS,3407,1418,508,1926,56.53
2017-2018,DOUGLAS,280059000,BENNINGTON PUBLIC SCHOOLS,2671,201,33,234,8.76
2017-2018,DOUGLAS,280066000,WESTSIDE COMMUNITY SCHOOLS,6066,1589,466,2055,33.88
2017-2018,DOUGLAS,280602000,NE CORRECTIONAL YOUTH FACILITY,61,,,,
2017-2018,DOUGLAS,280702000,JESUIT ACADEMY,73,44,19,63,86.3
2017-2018,DOUGLAS,280703000,BOYS TOWN SCHOOLS,349,,,,
2017-2018,DOUGLAS,280706000,BROWNELL TALBOT SCHOOLS,432,,,,
2017-2018,DOUGLAS,280707000,PHOENIX ACADEMY DAY SCHOOL,126,,,,
2017-2018,DOUGLAS,280708000,ST STEPHEN THE MARTYR SCHOOL,769,,,12,1.56
2017-2018,DOUGLAS,280709000,ALL SAINTS CATHOLIC SCHOOL,148,114,11,125,84.46
2017-2018,DOUGLAS,280711000,CHILDREN'S ROOM,123,,,,
2017-2018,DOUGLAS,280712000,CHRIST THE KING CATHOLIC SCH,386,,,23,5.96
2017-2018,DOUGLAS,280713000,CREIGHTON PREPARATORY SCHOOL,1008,,,,
2017-2018,DOUGLAS,280716000,DUCHESNE ACADEMY,329,,,,
2017-2018,DOUGLAS,280718000,GETHSEMANE LUTHERAN ELEMENTARY,82,,,,
2017-2018,DOUGLAS,280719000,GOOD SHEPHERD ELEMENTARY SCH,99,,,17,17.17
2017-2018,DOUGLAS,280720000,HOLY CROSS CATHOLIC SCHOOL,417,88,18,106,25.42
2017-2018,DOUGLAS,280722000,HOLY NAME ELEMENTARY SCHOOL,239,138,39,177,74.06
2017-2018,DOUGLAS,280723000,ST PATRICK'S CATHOLIC SCHOOL,834,,,12,1.44
2017-2018,DOUGLAS,280725000,MADONNA SCHOOL,56,,,11,19.64
2017-2018,DOUGLAS,280726000,MARIAN HIGH SCHOOL,689,31,54,85,12.34
2017-2018,DOUGLAS,280727000,MARY OUR QUEEN ELEM SCHOOL,534,48,11,59,11.05
2017-2018,DOUGLAS,280728000,OMAHA MEMORIAL SCHOOL OF S D A,30,,,,
2017-2018,DOUGLAS,280729000,ST VINCENT DE PAUL ELEMENTARY,876,20,22,42,4.79
2017-2018,DOUGLAS,280730000,MERCY HIGH SCHOOL,350,,,,
2017-2018,DOUGLAS,280731000,MONTESSORI EDUCATIONAL CNTRS,17,,,,
2017-2018,DOUGLAS,280733000,MT MICHAEL BENEDICTINE H S,238,,,,
2017-2018,DOUGLAS,280736000,OUR LADY OF LOURDES ELEM SCH,322,97,20,117,36.34
2017-2018,DOUGLAS,280737000,MONTESSORI LEARN CTR OF DUNDEE,31,,,,
2017-2018,DOUGLAS,280740000,RONCALLI CATHOLIC HIGH SCHOOL,384,17,12,29,7.55
2017-2018,DOUGLAS,280741000,SACRED HEART ELEMENTARY SCHOOL,126,NULL,NULL,NULL,NULL
2017-2018,DOUGLAS,280744000,PRIMROSE SCHOOL OF LEGACY,11,,,,
2017-2018,DOUGLAS,280746000,ST BERNARD ELEMENTARY SCHOOL,159,18,15,33,20.75
2017-2018,DOUGLAS,280748000,ST CECILIA CATHEDRAL SCHOOL,333,55,29,84,25.23
2017-2018,DOUGLAS,280749000,SKUTT CATHOLIC HIGH SCHOOL,774,,,,
2017-2018,DOUGLAS,280751000,ST GERALD ELEMENTARY SCHOOL,383,,,36,9.4
2017-2018,DOUGLAS,280752000,ST JAMES-SETON ELEMENTARY SCH,516,48,40,88,17.05
